iter	Passed	Remaining
845	28298	5151
846	28332	5117
847	28365	5084
848	28398	5050
849	28425	5016
850	28455	4982
851	28487	4948
852	28514	4913
853	28548	4880
854	28585	4847
855	28619	4814
856	28652	4780
857	28684	4747
858	28717	4713
859	28751	4680
860	28783	4646
861	28817	4613
862	28850	4579
863	28885	4546
864	28916	4513
865	28943	4478
866	28976	4445
867	29008	4411
868	29041	4377
869	29078	4345
870	29109	4311
871	29143	4277
872	29177	4244
873	29213	4211
874	29248	4178
875	29279	4144
876	29317	4111
877	29351	4078
878	29386	4045
879	29420	4011
880	29454	3978
881	29490	3945
882	29519	3911
883	29550	3877
884	29587	3844
885	29625	3811
886	29659	3778
887	29691	3744
888	29723	3711
889	29756	3677
890	29793	3644
891	29860	3615
892	29900	3582
893	29938	3549
894	29973	3516
895	30010	3483
896	30045	3449
897	30081	3416
898	30115	3383
899	30146	3349
900	30181	3316
901	30220	3283
902	30255	3249
903	30287	3216
904	30323	3183
905	30358	3149
906	30391	3116
907	30426	3082
908	30460	3049
909	30495	3016
910	30526	2982
911	30563	2949
912	30589	2914
913	30627	2881
914	30665	2848
915	30700	2815
916	30729	2781
917	30761	2747
918	30792	2714
919	30824	2680
920	30860	2647
921	30895	2613
922	30931	2580
923	30966	2546
924	31003	2513
925	31035	2480
926	31072	2446
927	31106	2413
928	31136	2379
929	31166	2345
930	31196	2312
931	31230	2278
932	31263	2245
933	31291	2211
934	31324	2177
935	31357	2144
936	31390	2110
937	31426	2077
938	31456	2043
939	31489	2009
940	31515	1976
941	31549	1942
942	31579	1908
943	31612	1875
944	31644	1841
945	31680	1808
946	31716	1775
947	31753	1741
948	31783	1708
949	31818	1674
950	31855	1641
951	31889	1607
952	31924	1574
953	31959	1541
954	31994	1507
955	32026	1474
956	32060	1440
957	32097	1407
958	32127	1373
959	32164	1340
960	32197	1306
961	32230	1273
962	32266	1239
963	32301	1206
964	32336	1172
965	32372	1139
966	32407	1105
967	32441	1072
968	32473	1038
969	32506	1005
970	32537	971
971	32571	938
972	32617	905
973	32659	871
974	32692	838
975	32730	804
976	32764	771
977	32793	737
978	32822	704
979	32855	670
980	32885	636
981	32919	603
982	32952	569
983	32987	536
984	33023	502
985	33054	469
986	33082	435
987	33116	402
988	33148	368
989	33179	335
990	33214	301
991	33247	268
992	33279	234
993	33311	201
994	33340	167
995	33377	134
996	33412	100
997	33446	67
998	33476	33
999	33506	0
